,year,gender,course,intake,enrolment,graduates,IHL_type
0,2009,Female,Applied & Health Sciences,710,1369,593,ITE
1,2009,Female,Business & Services,2799,4188,2435,ITE
2,2009,Female,Design & Media,268,418,142,ITE
3,2009,Female,Electronics & Infocomm Technology,1037,1905,772,ITE
4,2009,Female,Engineering,500,964,369,ITE
5,2009,Overall,Applied & Health Sciences,1156,2172,944,ITE
6,2009,Overall,Business & Services,4076,6316,3429,ITE
7,2009,Overall,Design & Media,541,895,308,ITE
8,2009,Overall,Electronics & Infocomm Technology,3811,7226,2855,ITE
9,2009,Overall,Engineering,4121,8237,3463,ITE
10,2010,Female,Applied & Health Sciences,680,1336,637,ITE
11,2010,Female,Business & Services,2754,4138,2474,ITE
12,2010,Female,Design & Media,320,548,181,ITE
13,2010,Female,Electronics & Infocomm Technology,972,1866,830,ITE
14,2010,Female,Engineering,522,968,366,ITE
15,2010,Overall,Applied & Health Sciences,1138,2198,987,ITE
16,2010,Overall,Business & Services,4098,6321,3591,ITE
17,2010,Overall,Design & Media,611,1094,420,ITE
18,2010,Overall,Electronics & Infocomm Technology,3892,7285,3157,ITE
19,2010,Overall,Engineering,4147,7891,3179,ITE
20,2011,Female,Applied & Health Sciences,847,1560,591,ITE
21,2011,Female,Business & Services,2681,4060,2300,ITE
22,2011,Female,Design & Media,322,609,245,ITE
23,2011,Female,Electronics & Infocomm Technology,1019,1861,804,ITE
24,2011,Female,Engineering,615,1068,386,ITE
25,2011,Female,Hospitality,322,609,245,ITE
26,2011,Overall,Applied & Health Sciences,1293,2447,940,ITE
27,2011,Overall,Business & Services,4232,6462,3509,ITE
28,2011,Overall,Design & Media,603,1156,507,ITE
29,2011,Overall,Electronics & Infocomm Technology,3748,7217,3081,ITE
30,2011,Overall,Engineering,4222,7997,3128,ITE
31,2011,Overall,Hospitality,603,1156,507,ITE
32,2012,Female,Applied & Health Sciences,769,1553,702,ITE
33,2012,Female,Business & Services,2372,3623,2024,ITE
34,2012,Female,Design & Media,288,580,284,ITE
35,2012,Female,Electronics & Infocomm Technology,945,1820,793,ITE
36,2012,Female,Engineering,519,1023,448,ITE
37,2012,Female,Hospitality,251,486,174,ITE
38,2012,Overall,Applied & Health Sciences,1261,2469,1097,ITE
39,2012,Overall,Business & Services,3839,5885,3065,ITE
40,2012,Overall,Design & Media,604,1157,534,ITE
41,2012,Overall,Electronics & Infocomm Technology,3462,6810,3130,ITE
42,2012,Overall,Engineering,4229,8078,3352,ITE
43,2012,Overall,Hospitality,511,971,352,ITE
44,2013,Female,Applied & Health Sciences,750,1470,683,ITE
45,2013,Female,Business & Services,2468,3919,2183,ITE
46,2013,Female,Design & Media,386,633,229,ITE
47,2013,Female,Electronics & Infocomm Technology,941,1859,848,ITE
48,2013,Female,Engineering,621,1030,411,ITE
49,2013,Female,Hospitality,293,517,226,ITE
50,2013,Overall,Applied & Health Sciences,1219,2346,1058,ITE
51,2013,Overall,Business & Services,3916,6257,3387,ITE
52,2013,Overall,Design & Media,811,1291,471,ITE
53,2013,Overall,Electronics & Infocomm Technology,3533,6883,3085,ITE
54,2013,Overall,Engineering,4413,8503,3420,ITE
55,2013,Overall,Hospitality,540,1008,467,ITE
56,2014,Female,Applied & Health Sciences,701,1631,645,ITE
57,2014,Female,Business & Services,2547,4173,1545,ITE
58,2014,Female,Design & Media,462,751,318,ITE
59,2014,Female,Electronics & Infocomm Technology,948,1860,734,ITE
60,2014,Female,Engineering,633,1218,400,ITE
61,2014,Female,Hospitality,283,616,241,ITE
62,2014,Overall,Applied & Health Sciences,1154,2597,1037,ITE
63,2014,Overall,Business & Services,4006,6682,2469,ITE
64,2014,Overall,Design & Media,879,1494,639,ITE
65,2014,Overall,Electronics & Infocomm Technology,3506,7033,2881,ITE
66,2014,Overall,Engineering,4560,9064,3574,ITE
67,2014,Overall,Hospitality,536,1166,462,ITE
68,2015,Female,Applied & Health Sciences,733,1594,815,ITE
69,2015,Female,Business & Services,2184,5048,2223,ITE
70,2015,Female,Design & Media,466,798,355,ITE
71,2015,Female,Electronics & Infocomm Technology,891,1873,868,ITE
72,2015,Female,Engineering,623,1287,554,ITE
73,2015,Female,Hospitality,307,667,325,ITE
74,2015,Overall,Applied & Health Sciences,1173,2523,1274,ITE
75,2015,Overall,Business & Services,3633,8010,3528,ITE
76,2015,Overall,Design & Media,933,1565,705,ITE
77,2015,Overall,Electronics & Infocomm Technology,3383,6927,3266,ITE
78,2015,Overall,Engineering,4486,9045,3966,ITE
79,2015,Overall,Hospitality,565,1225,612,ITE
80,2016,Female,Applied & Health Sciences,740,1427,632,ITE
81,2016,Female,Business & Services,2591,4594,2334,ITE
82,2016,Female,Design & Media,479,921,373,ITE
83,2016,Female,Electronics & Infocomm Technology,859,1638,764,ITE
84,2016,Female,Engineering,647,1164,469,ITE
85,2016,Female,Hospitality,319,602,291,ITE
86,2016,Overall,Applied & Health Sciences,1234,2322,988,ITE
87,2016,Overall,Business & Services,4152,7411,3654,ITE
88,2016,Overall,Design & Media,965,1851,735,ITE
89,2016,Overall,Electronics & Infocomm Technology,3318,6324,2858,ITE
90,2016,Overall,Engineering,4488,8483,3753,ITE
91,2016,Overall,Hospitality,606,1128,528,ITE
92,2017,Female,Applied & Health Sciences,850,1558,643,ITE
93,2017,Female,Business & Services,2680,4836,2172,ITE
94,2017,Female,Design & Media,486,921,440,ITE
95,2017,Female,Electronics & Infocomm Technology,925,1692,746,ITE
96,2017,Female,Engineering,676,1228,530,ITE
97,2017,Female,Hospitality,298,569,277,ITE
98,2017,Overall,Applied & Health Sciences,1342,2537,1059,ITE
99,2017,Overall,Business & Services,4344,7797,3496,ITE
100,2017,Overall,Design & Media,967,1862,889,ITE
101,2017,Overall,Electronics & Infocomm Technology,3570,6531,3100,ITE
102,2017,Overall,Engineering,4685,8643,3805,ITE
103,2017,Overall,Hospitality,598,1138,509,ITE
104,2018,Female,Applied & Health Sciences,806,1602,737,ITE
105,2018,Female,Business & Services,2507,4732,2221,ITE
106,2018,Female,Design & Media,481,912,420,ITE
107,2018,Female,Electronics & Infocomm Technology,850,1632,832,ITE
108,2018,Female,Engineering,628,1198,559,ITE
109,2018,Female,Hospitality,357,631,257,ITE
110,2018,Overall,Applied & Health Sciences,1259,2503,1163,ITE
111,2018,Overall,Business & Services,4125,7762,3608,ITE
112,2018,Overall,Design & Media,927,1815,876,ITE
113,2018,Overall,Electronics & Infocomm Technology,3321,6432,3241,ITE
114,2018,Overall,Engineering,4524,8639,3992,ITE
115,2018,Overall,Hospitality,663,1216,541,ITE
116,2019,Female,Applied & Health Sciences,822,1565,701,ITE
117,2019,Female,Business & Services,2575,4623,2285,ITE
118,2019,Female,Design & Media,590,1024,405,ITE
119,2019,Female,Electronics & Infocomm Technology,837,1564,714,ITE
120,2019,Female,Engineering,714,1225,502,ITE
121,2019,Female,Hospitality,370,657,323,ITE
122,2019,Overall,Applied & Health Sciences,1305,2458,1039,ITE
123,2019,Overall,Business & Services,4138,7545,3631,ITE
124,2019,Overall,Design & Media,1051,1902,804,ITE
125,2019,Overall,Electronics & Infocomm Technology,3380,6265,2821,ITE
126,2019,Overall,Engineering,4585,8552,3731,ITE
127,2019,Overall,Hospitality,688,1246,569,ITE
128,2020,Female,Applied & Health Sciences,855,1603,700,ITE
129,2020,Female,Business & Services,2401,4544,2266,ITE
130,2020,Female,Design & Media,532,1080,471,ITE
131,2020,Female,Electronics & Infocomm Technology,820,1543,710,ITE
132,2020,Female,Engineering,716,1305,552,ITE
133,2020,Female,Hospitality,392,695,328,ITE
134,2020,Overall,Applied & Health Sciences,1296,2500,1127,ITE
135,2020,Overall,Business & Services,3831,7295,3659,ITE
136,2020,Overall,Design & Media,1010,1991,850,ITE
137,2020,Overall,Electronics & Infocomm Technology,3309,6245,2948,ITE
138,2020,Overall,Engineering,4502,8500,3953,ITE
139,2020,Overall,Hospitality,713,1294,607,ITE
140,2021,Female,Applied & Health Sciences,878,1683,722,ITE
141,2021,Female,Business & Services,2445,4536,2237,ITE
142,2021,Female,Design & Media,604,1112,501,ITE
143,2021,Female,Electronics & Infocomm Technology,848,1543,724,ITE
144,2021,Female,Engineering,734,1368,633,ITE
145,2021,Female,Hospitality,396,715,356,ITE
146,2021,Overall,Applied & Health Sciences,1335,2549,1105,ITE
147,2021,Overall,Business & Services,3903,7260,3519,ITE
148,2021,Overall,Design & Media,1009,1966,912,ITE
149,2021,Overall,Electronics & Infocomm Technology,3313,6235,3022,ITE
150,2021,Overall,Engineering,4464,8550,4023,ITE
151,2021,Overall,Hospitality,714,1302,643,ITE
152,2022,Female,Applied & Health Sciences,934,1770,789,ITE
153,2022,Female,Business & Services,2316,4376,2183,ITE
154,2022,Female,Design & Media,586,1152,529,ITE
155,2022,Female,Electronics & Infocomm Technology,768,1510,742,ITE
156,2022,Female,Engineering,828,1472,593,ITE
157,2022,Female,Hospitality,382,696,370,ITE
158,2022,Overall,Applied & Health Sciences,1341,2605,1185,ITE
159,2022,Overall,Business & Services,3804,7118,3522,ITE
160,2022,Overall,Design & Media,1016,1962,927,ITE
161,2022,Overall,Electronics & Infocomm Technology,3438,6333,2995,ITE
162,2022,Overall,Engineering,4321,8300,4050,ITE
163,2022,Overall,Hospitality,657,1252,653,ITE
164,2023,Female,Applied & Health Sciences,878,1718,787,ITE
165,2023,Female,Business & Services,2208,4168,1912,ITE
166,2023,Female,Design & Media,591,1142,534,ITE
167,2023,Female,Electronics & Infocomm Technology,816,1510,416,ITE
168,2023,Female,Engineering,855,1563,699,ITE
169,2023,Female,Hospitality,381,676,332,ITE
170,2023,Overall,Applied & Health Sciences,1293,2501,1131,ITE
171,2023,Overall,Business & Services,3664,6944,2970,ITE
172,2023,Overall,Design & Media,1007,1957,901,ITE
173,2023,Overall,Electronics & Infocomm Technology,3500,6628,1677,ITE
174,2023,Overall,Engineering,4269,8050,3768,ITE
175,2023,Overall,Hospitality,672,1194,602,ITE
176,2024,Female,Applied & Health Sciences,545,1046,484,ITE
177,2024,Female,Business & Services,1988,4082,1935,ITE
178,2024,Female,Design & Media,607,1160,524,ITE
179,2024,Female,Electronics & Infocomm Technology,650,1635,692,ITE
180,2024,Female,Engineering,1419,2457,998,ITE
181,2024,Female,Hospitality,380,697,337,ITE
182,2024,Overall,Applied & Health Sciences,731,1409,657,ITE
183,2024,Overall,Business & Services,3417,7072,3241,ITE
184,2024,Overall,Design & Media,996,1934,903,ITE
185,2024,Overall,Electronics & Infocomm Technology,2795,7317,3114,ITE
186,2024,Overall,Engineering,4880,9147,4198,ITE
187,2024,Overall,Hospitality,654,1217,573,ITE
188,2005,Female,Applied Arts,687,1538,302,Polytechnic
189,2005,Female,"Architecture, Building & Real Estate",312,870,249,Polytechnic
190,2005,Female,Business & Administration,2389,7038,2270,Polytechnic
191,2005,Female,Education,180,469,111,Polytechnic
192,2005,Female,Engineering Sciences,2097,5939,2005,Polytechnic
193,2005,Female,Health Sciences,1326,3971,877,Polytechnic
194,2005,Female,Humanities & Social Sciences,71,73,0,Polytechnic
195,2005,Female,Information Technology,1887,5065,1464,Polytechnic
196,2005,Female,Law,83,221,71,Polytechnic
197,2005,Female,Mass Communication,324,1029,282,Polytechnic
198,2005,Female,Natural & Mathematical Sciences,712,1678,447,Polytechnic
199,2005,Female,Services,68,173,35,Polytechnic
200,2005,Overall,Applied Arts,1128,2593,550,Polytechnic
201,2005,Overall,"Architecture, Building & Real Estate",515,1466,425,Polytechnic
202,2005,Overall,Business & Administration,3483,10143,3044,Polytechnic
203,2005,Overall,Education,189,484,111,Polytechnic
204,2005,Overall,Engineering Sciences,7826,22462,6536,Polytechnic
205,2005,Overall,Health Sciences,1639,4962,1016,Polytechnic
206,2005,Overall,Humanities & Social Sciences,81,83,0,Polytechnic
